Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category
TechDebt - Measure code coverage in Python,DIPP-54,10053,Story,To Do,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,,,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,21/Feb/23 12:52 PM,24/Feb/23 9:21 AM,30/Mar/23 12:59 PM,,,0,TechDebt,,,"As a developer, I want to measure the code coverage of individual modules, so that I can be more certain relevant code paths are complying the expected behaviour.

*Acceptance Criteria (AC):*

* Try coverage.py to measure code coverage
* Report to be created about code coverage (should not be stored anywhere)
* Minimum coverage is not lower than 60%
* If the target is not met then the build should fail",,Adam Brett,,,,63d39e92f6e1b543161772c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,,,,,,,,,10055,Tech Debt,To Do
Data transformation of TripUpdates source to dim_stop table,DIPP-53,10052,Story,Review,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,Adam_Posta,63cfe31bc565900ff4050272,Adam Brett,63d39e92f6e1b543161772c7,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,14/Feb/23 10:48 AM,21/Mar/23 5:56 PM,30/Mar/23 12:59 PM,,,0,1_review,2_approve,,"As a developer I want to create a transformation
that processes the TripUpdates source according to the DFD (Data Flow Diagram)
and writes the output to *_dim_stop_* table.

*AC:*

* use Python
* write output to SQLite
* Store dates with timezone information 
* persist only once after the vehicle reached the last stop

DFD diagram: [https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|smart-link]",,Adam_Posta,Tamas Adami,,,63cfe31bc565900ff4050272,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,DIPP-45,,,,,,,,,,,0|i0000g:,DIPP Sprint 4,DIPP Sprint 5,DIPP Sprint 6,,5.0,"21/Mar/23 5:56 PM;63cfe31bc565900ff4050272;All threads are resolved, waiting for final approval",,,,10015,Data Transformation,In Progress
CI/CD pipeline (Java),DIPP-52,10051,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,09/Feb/23 12:23 PM,29/Mar/23 10:27 AM,30/Mar/23 12:59 PM,29/Mar/23 10:27 AM,,0,2_approve,2_review,,"Investigate the possibilities of creating a CI/CD pipeline.

Check if creating an artifactory is possible.

If the pipeline fails then send an email

*Hint:* [https://gitbud.epam.com/andor_herendi/bkk/-/pipelines|https://gitbud.epam.com/andor_herendi/bkk/-/pipelines]

AC

* The repository can be built
* Tests are executed
* Code formatter executed
* If any of the previous steps failing then the whole pipeline is failing
* The pipeline is triggered after each and every commit",,Adam Brett,,,,63d39e92f6e1b543161772c7,,,,,,,,,,,,,,,DIPP-63,,,,,,,,,,,,,0|i0000f:is,DIPP Sprint 5,DIPP Sprint 6,,,5.0,,,,,10050,Design and create CI/CD pipeline ,Done
Design and create CI/CD pipeline ,DIPP-51,10050,Epic,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,,,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,09/Feb/23 12:17 PM,29/Mar/23 10:27 AM,30/Mar/23 12:59 PM,29/Mar/23 10:27 AM,10/Apr/23 12:00 AM,0,,,,"As a developer I want to create a CI/CD pipeline
so that builds, tests and deployments can be automated and new versions of software can be delivered easily.",,Adam Brett,,,,63d39e92f6e1b543161772c7,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,0|i0003r:,,,,14/Mar/23 12:00 AM,,,,,,,,Done
Add logging for python modules,DIPP-50,10049,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,,,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,09/Feb/23 12:00 PM,06/Mar/23 9:46 AM,30/Mar/23 12:59 PM,06/Mar/23 9:46 AM,,0,,,,"As a developer I want to configure logging for all Python modules
so that the application can be properly monitored.

*AC:*

* logging is wired in into all Python related modules

Notes:

* [https://docs.python.org/3/library/logging.html|https://docs.python.org/3/library/logging.html|smart-link] ",,Adam Brett,Tamas Adami,,,63d39e92f6e1b543161772c7,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003j:,,,,,,06/Mar/23 9:46 AM;557058:75793878-96f9-421a-b729-5480491e22d6;Already done as discussed,,,,,,Done
Code coverage are measured in Java module (Alerts),DIPP-49,10048,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Adam_Aranyi,63cfe31ba05386069cda49af,Andor Herendi,63ce6514f6e1b5431616179f,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,06/Feb/23 10:13 AM,14/Feb/23 5:57 PM,30/Mar/23 12:59 PM,14/Feb/23 5:57 PM,,0,BKK,,,"As a developer, I want to measure the code coverage of individual modules, so that I can be more certain relevant code paths are complying the expected behavior.



Acceptance Criteria (AC)

* Jacoco must be used to measure code coverage
* Report to be created about code coverage (should not be stored anywhere)
* Minimum coverage is not lower than 60%
* If the target is not met then the build should fail",,Tamas Adami,,,,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,DIPP-29,,,,,,,,,,,0|i00033:i,DIPP Sprint 3,,,,5.0,,,,,,,Done
Create fact_delay table ,DIPP-48,10047,Story,In Progress,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,Adam_Aranyi,63cfe31ba05386069cda49af,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,06/Feb/23 10:04 AM,23/Mar/23 11:50 AM,30/Mar/23 12:59 PM,,,0,,,,"As a developer I want to create a transformation
that calculates the *delay* from the *_dim_stop_* and *_dim_stop_times_* tables' *_arrival_time_* column
and writes the output to *_fact_delay_* table according to the star schema.

*AC:*

* use Python
* read from the dim_stop and dim_stop_times tables
* write output to SQLite
* Store dates with timezone information

 

DFD diagram: [https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|smart-link]",,Adam Brett,,,,63d39e92f6e1b543161772c7,,,,,,,,,,,,,,,,,DIPP-47,,,,,,,,,,,0|i0005q:9,DIPP Sprint 6,,,,8.0,,,,,10015,Data Transformation,In Progress
Data transformation of TripUpdates source to dim_vehicle table,DIPP-47,10046,Story,Review,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,Kerecsen Szabo,63f4acc63ec8aa51d3d1ea7f,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,06/Feb/23 9:38 AM,23/Mar/23 9:34 AM,30/Mar/23 12:59 PM,,,0,1_review,2_approve,,"As a developer I want to create a transformation
that processes the TripUpdates source according to the DFD (Data Flow Diagram)
and writes the output to *_dim_vehicle_* table.

*AC:*

* use Python
* read avro files from blob storage (local disk)
* write output to SQLite
* Store dates with timezone information
* Sql script for table creation stored seperately and can be executed by hand

 

DFD diagram: [https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|smart-link]",,Adam Brett,Kerecsen Szabo,,,63d39e92f6e1b543161772c7,63f4acc63ec8aa51d3d1ea7f,,,,,,,,,,,,,,DIPP-48,,DIPP-46,,,,,,,,,,,0|i0000f:i9,DIPP Sprint 4,DIPP Sprint 5,DIPP Sprint 6,,5.0,20/Mar/23 11:56 AM;63f4acc63ec8aa51d3d1ea7f;[MR|https://git.epam.com/adam_posta/bkk_transform_data/-/merge_requests/3],,,,10015,Data Transformation,In Progress
Data transformation of TripUpdates source to dim_trip table,DIPP-46,10045,Story,Review,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,Botond_Besnyi,63cfe31bc7e5fd35203b3219,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,06/Feb/23 9:34 AM,21/Mar/23 9:03 AM,30/Mar/23 12:59 PM,,,0,1_approve,,,"As a developer I want to create a transformation
that processes the TripUpdates source according to the DFD (Data Flow Diagram)
and writes the output to *_dim_trip_* table.

*AC:*

* use Python
* read avro files from blob storage (local disk)
* write output to SQLite
* Store dates with timezone information
* Sql script for table creation stored seperately and can be executed by hand

 

DFD diagram: [https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|smart-link]",,Adam Brett,Botond_Besnyi,,,63d39e92f6e1b543161772c7,63cfe31bc7e5fd35203b3219,,,,,,,,,,,,,,DIPP-47,,DIPP-45,,,,,,,,,,,0|i0000f:m,DIPP Sprint 4,DIPP Sprint 5,DIPP Sprint 6,,5.0,28/Feb/23 9:22 AM;63cfe31bc7e5fd35203b3219;[Merge request|https://git.epam.com/botond_besnyi/bkk-data-transformation/-/merge_requests/1],,,,10015,Data Transformation,In Progress
Data transformation of TripUpdates source to dim_stop table,DIPP-45,10044,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Adam_Posta,63cfe31bc565900ff4050272,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,06/Feb/23 9:28 AM,20/Feb/23 12:48 PM,30/Mar/23 12:59 PM,20/Feb/23 12:48 PM,,0,1_review,,,"As a developer I want to create a transformation
that processes the TripUpdates source according to the DFD (Data Flow Diagram)
and writes the output to *_dim_stop_* table.

*AC:*

* use Python
* read avro files from blob storage (local disk)
* Store dates with timezone information 
* persist only once after the vehicle reached the last stop





DFD diagram: [https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|smart-link]",,Adam_Posta,Adam Brett,,,63cfe31bc565900ff4050272,63d39e92f6e1b543161772c7,,,,,,,,,,,,,,DIPP-46,DIPP-53,DIPP-44,,,,,,,,,,,0|i00039:18r,DIPP Sprint 3,,,,2.0,16/Feb/23 4:25 PM;63cfe31bc565900ff4050272;[https://git.epam.com/adam_posta/bkk_transform_data/-/merge_requests/1|https://git.epam.com/adam_posta/bkk_transform_data/-/merge_requests/1],,,,10015,Data Transformation,Done
Data transformation of static schedule to dim_stop_times table,DIPP-44,10043,Story,Review,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,Levente_Nagy1,63cfe31bf386bda5dcab317d,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,06/Feb/23 9:16 AM,28/Mar/23 3:04 AM,30/Mar/23 12:59 PM,,,0,0_approve,1_review,,"As a developer I want to create a transformation
that processes the static time schedule (*_stop_times.txt_*) according to the DFD (Data Flow Diagram)
and writes the output to *_dim_stop_times_* table.

*AC:*

* use Python
* read avro files from blob storage (local disk)
* write output to SQLite
* Store dates with timezone information
* Sql script for table creation stored seperately and can be executed by hand


DFD diagram: [https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|smart-link] ",,Adam Brett,,,,63d39e92f6e1b543161772c7,,,,,,,,,,,,,,,DIPP-45,,,,,,,,,,,,,0|i0000f:j,DIPP Sprint 4,DIPP Sprint 5,DIPP Sprint 6,,5.0,,,,,10015,Data Transformation,In Progress
Futár API Ingestion is containerized,DIPP-43,10042,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Adam_Aranyi,63cfe31ba05386069cda49af,Andor Herendi,63ce6514f6e1b5431616179f,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,03/Feb/23 10:37 AM,28/Mar/23 2:12 PM,30/Mar/23 12:59 PM,28/Mar/23 9:12 AM,,0,2_approve,,,"As a developer, I want to containerize the Futár API ingestion, so that can run as a platform-independent service.

AC

* Ingestion can be executed and can be configured through Docker
* The same Python version must be used through the build as the application written",,Tamas Adami,,,,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,DIPP-42,,,,,,,,,,,0|i0000f:id,DIPP Sprint 4,DIPP Sprint 5,DIPP Sprint 6,,3.0,,,,,10021,Docker Compose,Done
Weather Ingestion is containerized,DIPP-42,10041,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Adam_Aranyi,63cfe31ba05386069cda49af,Andor Herendi,63ce6514f6e1b5431616179f,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,03/Feb/23 10:36 AM,28/Mar/23 5:07 PM,30/Mar/23 12:59 PM,28/Mar/23 5:07 PM,,0,2_approve,,,"As a developer, I want to containerize the weather ingestion, so that can run as a platform-independent service.

AC

* Ingestion can be executed and can be configured through Docker
* The same Python version must be used through the build as the application written",,Adam_Aranyi,Tamas Adami,,,63cfe31ba05386069cda49af,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,DIPP-43,,DIPP-32,,,,,,,,,,,0|i0000f:il,DIPP Sprint 4,DIPP Sprint 5,DIPP Sprint 6,,3.0,23/Mar/23 11:53 AM;63cfe31ba05386069cda49af;Currently everything is in the root folder. It would be better if code could be executed as a module. This will also require adjustments to the containerization.,,,,10021,Docker Compose,Done
Alert Ingestion is containerized,DIPP-41,10040,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Adam_Aranyi,63cfe31ba05386069cda49af,Adam_Aranyi,63cfe31ba05386069cda49af,03/Feb/23 10:34 AM,08/Mar/23 4:46 PM,30/Mar/23 12:59 PM,08/Mar/23 4:46 PM,,0,2_approve,,,"As a developer, I want to containerize the alert ingestion, so that can run as a platform-independent service.

 

AC

* Ingestion can be executed and can be configured through Docker
* The same Java version must be used through the build as the application written",,Adam_Aranyi,,,,63cfe31ba05386069cda49af,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000i:zr,DIPP Sprint 4,DIPP Sprint 5,,,2.0,,,,,10021,Docker Compose,Done
Timetable Ingestion is containerized,DIPP-40,10039,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Andor Herendi,63ce6514f6e1b5431616179f,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,03/Feb/23 10:13 AM,08/Mar/23 4:06 PM,30/Mar/23 12:59 PM,08/Mar/23 4:06 PM,,0,3_approve,,,"As a developer, I want to containerize the timetable ingestion, so that can run as a platform-independent service.

AC

* Ingestion can be executed and can be configured through Docker
* The same Python version must be used through the build as the application written",,Tamas Adami,,,,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,DIPP-32,,,,,,,,,,,0|i0000i:zv,DIPP Sprint 4,DIPP Sprint 5,,,3.0,,,,,10021,Docker Compose,Done
